DATE,precip,temp_max,temp_min,target,month_max,month_day_max,max_min,monthly_avg,weekly_avg,day_of_year_avg
02/10/1960,0,66,57,66,72.56666667,1.099494949,1.157894737,64.5,66,66
03/10/1960,0,66,57,71,72.53333333,1.098989899,1.157894737,65,66,66
04/10/1960,0,71,54,79,72.43333333,1.020187793,1.314814815,66.5,68.5,71
05/10/1960,0.02,79,54,71,72.43333333,0.916877637,1.462962963,69,72,79
06/10/1960,0.08,71,56,66,72.3,1.018309859,1.267857143,69.33333333,71.75,71
07/10/1960,0,66,56,68,72.1,1.092424242,1.178571429,68.85714286,70.6,66
08/10/1960,0,68,48,71,71.86666667,1.056862745,1.416666667,68.75,70.16666667,68
09/10/1960,0,71,55,69,71.53333333,1.007511737,1.290909091,69,70.28571429,71
10/10/1960,0,69,48,67,70.96666667,1.028502415,1.4375,69,69,69
11/10/1960,0,67,47,62,70.56666667,1.053233831,1.425531915,68.81818182,68,67
12/10/1960,0,62,48,65,70.23333333,1.132795699,1.291666667,68.25,66,62
13/10/1960,0,65,46,76,70,1.076923077,1.413043478,68,65.75,65
14/10/1960,0,76,45,84,70.36666667,0.925877193,1.688888889,68.57142857,67.8,76
15/10/1960,0,84,61,81,70.96666667,0.84484127,1.37704918,69.6,70.5,84
16/10/1960,0,81,54,71,71.43333333,0.881893004,1.5,70.3125,72,81
17/10/1960,0,71,48,63,71.4,1.005633803,1.479166667,70.35294118,71,71
18/10/1960,0,63,53,66,71.13333333,1.129100529,1.188679245,69.94444444,67,63
19/10/1960,0,66,51,70,71.2,1.078787879,1.294117647,69.73684211,66.66666667,66
20/10/1960,0,70,51,64,71.3,1.018571429,1.37254902,69.75,67.5,70
21/10/1960,0,64,51,72,71.03333333,1.109895833,1.254901961,69.47619048,66.8,64
22/10/1960,0,72,48,63,71,0.986111111,1.5,69.59090909,67.66666667,72
23/10/1960,0,63,54,66,70.36666667,1.116931217,1.166666667,69.30434783,67,63
24/10/1960,0,66,55,64,69.53333333,1.053535354,1.2,69.16666667,66,66
25/10/1960,0,64,53,71,68.56666667,1.071354167,1.20754717,68.96,65,64
26/10/1960,0.01,71,56,67,68.5,0.964788732,1.267857143,69.03846154,67,71
27/10/1960,0,67,47,71,68.46666667,1.021890547,1.425531915,68.96296296,67,67
28/10/1960,0,71,47,76,68.66666667,0.96713615,1.510638298,69.03571429,67.8,71
29/10/1960,0,76,48,77,69,0.907894737,1.583333333,69.27586207,69.16666667,76
30/10/1960,0,77,45,73,69.53333333,0.903030303,1.711111111,69.53333333,70.28571429,77
31/10/1960,0,73,48,74,69.86666667,0.957077626,1.520833333,69.64516129,73,73
01/11/1960,0,74,49,68,70.13333333,0.947747748,1.510204082,74,73.5,74
02/11/1960,0,68,49,60,70.2,1.032352941,1.387755102,71,71.66666667,68
03/11/1960,0.03,60,50,67,69.83333333,1.163888889,1.2,67.33333333,68.75,60
04/11/1960,0.02,67,48,62,69.43333333,1.036318408,1.395833333,67.25,68.4,67
05/11/1960,0.08,62,47,62,69.13333333,1.115053763,1.319148936,66.2,67.33333333,62
06/11/1960,0.06,62,53,61,69,1.112903226,1.169811321,65.5,66.57142857,62
07/11/1960,0,61,47,63,68.76666667,1.127322404,1.29787234,64.85714286,61,61
08/11/1960,0,63,45,64,68.5,1.087301587,1.4,64.625,62,63
09/11/1960,0,64,43,60,68.33333333,1.067708333,1.488372093,64.55555556,62.66666667,64
10/11/1960,0,60,44,59,68.1,1.135,1.363636364,64.1,62,60
11/11/1960,0.29,59,52,60,68,1.152542373,1.134615385,63.63636364,61.4,59
12/11/1960,0.13,60,51,60,67.83333333,1.130555556,1.176470588,63.33333333,61.16666667,60
13/11/1960,1.5,60,50,57,67.3,1.121666667,1.2,63.07692308,61,60
14/11/1960,0,57,46,61,66.4,1.164912281,1.239130435,62.64285714,57,57
15/11/1960,0,61,42,61,65.73333333,1.077595628,1.452380952,62.53333333,59,61
16/11/1960,0,61,43,57,65.4,1.072131148,1.418604651,62.4375,59.66666667,61
17/11/1960,0,57,50,63,65.2,1.143859649,1.14,62.11764706,59,57
18/11/1960,0.15,63,49,62,65.1,1.033333333,1.285714286,62.16666667,59.8,63
19/11/1960,0,62,41,61,64.83333333,1.045698925,1.512195122,62.15789474,60.16666667,62
20/11/1960,0,61,42,61,64.73333333,1.061202186,1.452380952,62.1,60.28571429,61
21/11/1960,0,61,45,60,64.36666667,1.055191257,1.355555556,62.04761905,61,61
22/11/1960,0,60,40,57,64.26666667,1.071111111,1.5,61.95454545,60.5,60
23/11/1960,0,57,40,64,63.96666667,1.122222222,1.425,61.73913043,59.33333333,57
24/11/1960,0,64,43,58,63.96666667,0.999479167,1.488372093,61.83333333,60.5,64
25/11/1960,1.61,58,49,56,63.53333333,1.095402299,1.183673469,61.68,60,58
26/11/1960,0.18,56,41,56,63.16666667,1.12797619,1.365853659,61.46153846,59.33333333,56
27/11/1960,0,56,39,55,62.66666667,1.119047619,1.435897436,61.25925926,58.85714286,56
28/11/1960,0,55,42,57,61.96666667,1.126666667,1.30952381,61.03571429,55,55
29/11/1960,0.09,57,43,62,61.3,1.075438596,1.325581395,60.89655172,56,57
30/11/1960,0.1,62,50,60,60.93333333,0.982795699,1.24,60.93333333,58,62
01/12/1960,0.38,60,51,56,60.46666667,1.007777778,1.176470588,60,58.5,60
02/12/1960,0.17,56,46,57,60.06666667,1.072619048,1.217391304,58,58,56
03/12/1960,0,57,43,56,59.96666667,1.052046784,1.325581395,57.66666667,57.83333333,57
04/12/1960,0,56,41,59,59.6,1.064285714,1.365853659,57.25,57.57142857,56
05/12/1960,0,59,37,54,59.5,1.008474576,1.594594595,57.6,59,59
06/12/1960,0,54,37,57,59.23333333,1.09691358,1.459459459,57,56.5,54
07/12/1960,0,57,32,54,59.1,1.036842105,1.78125,57,56.66666667,57
08/12/1960,0,54,34,56,58.8,1.088888889,1.588235294,56.625,56,54
09/12/1960,0,56,35,52,58.53333333,1.045238095,1.6,56.55555556,56,56
10/12/1960,0.08,52,40,55,58.26666667,1.120512821,1.3,56.1,55.33333333,52
11/12/1960,0,55,42,46,58.13333333,1.056969697,1.30952381,56,55.28571429,55
12/12/1960,0,46,38,52,57.66666667,1.253623188,1.210526316,55.16666667,46,46
13/12/1960,0,52,36,57,57.4,1.103846154,1.444444444,54.92307692,49,52
14/12/1960,0.05,57,43,60,57.4,1.007017544,1.325581395,55.07142857,51.66666667,57
15/12/1960,0,60,50,61,57.36666667,0.956111111,1.2,55.4,53.75,60
